#   N_BLOCK:  ACCEPTANCE:
           1    0.537115
           2     0.53791
           3    0.538081
           4     0.53805
           5    0.538024
           6    0.538036
           7    0.537845
           8     0.53764
           9     0.53768
          10    0.537761
          11    0.537676
          12    0.537578
          13    0.537609
          14    0.537636
          15    0.537683
          16    0.537707
          17     0.53773
          18    0.537634
          19    0.537632
          20    0.537623
