#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.37163     1.37163           0
           2      1.3433     1.35746    0.010014
           3     1.34346      1.3528  0.00768714
           4     1.36267     1.35527  0.00614904
           5     1.35523     1.35526  0.00491923
           6     1.31325     1.34826    0.007593
           7     1.35395     1.34907  0.00655164
           8      1.3893      1.3541  0.00741563
           9     1.35998     1.35475  0.00662041
          10     1.32164     1.35144  0.00673552
          11     1.38833     1.35479  0.00690786
          12     1.37779     1.35671  0.00659256
          13     1.35849     1.35685  0.00608686
          14     1.37378     1.35806  0.00577094
          15     1.34877     1.35744  0.00541929
          16     1.35903     1.35754   0.0050815
          17     1.37179     1.35838  0.00485121
          18     1.37348     1.35921  0.00465367
          19     1.34012     1.35821  0.00451598
          20     1.38667     1.35963  0.00450881
