#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.20122     0.20122           0
           2    0.200718    0.200969  0.00017768
           3    0.199155    0.200364 0.000507719
           4    0.194417    0.198878  0.00134271
           5    0.196434    0.198389  0.00115972
           6    0.195218     0.19786  0.00108013
           7    0.196827    0.197713 0.000935858
           8    0.200933    0.198115 0.000901278
           9    0.197374    0.198033 0.000804894
          10    0.195949    0.197824 0.000750909
          11    0.192474    0.197338 0.000825265
          12    0.197267    0.197332 0.000756514
          13    0.197785    0.197367 0.000699122
          14    0.196519    0.197306   0.0006518
          15    0.194752    0.197136 0.000630202
          16    0.198651    0.197231 0.000597887
          17    0.197674    0.197257 0.000563286
          18    0.195218    0.197144 0.000543267
          19    0.193842     0.19697 0.000541758
          20    0.198116    0.197027 0.000517691
