#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.76097     5.76097           0
           2     5.89464     5.82781   0.0472579
           3     6.02103     5.89221   0.0613026
           4     5.52105     5.79942   0.0925821
           5     5.42141     5.72382    0.100291
           6     5.78961     5.73479   0.0841728
           7     5.44152     5.69289   0.0819134
           8     5.34412     5.64929   0.0824634
           9     5.61519     5.64551   0.0733878
          10     5.13142      5.5941   0.0821037
          11     5.45848     5.58177   0.0755597
          12     5.53013     5.57746   0.0693855
          13     5.35341     5.56023   0.0661541
          14     5.59958     5.56304   0.0614885
          15     5.38333     5.55106   0.0585448
          16     5.59775     5.55398   0.0549584
          17     5.77412     5.56693   0.0532293
          18     5.65854     5.57202   0.0505148
          19     5.84736     5.58651   0.0498916
          20     5.36948     5.57566   0.0485627
