#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.120308    0.120308           0
           2    0.120938    0.120623 0.000222739
           3    0.136464    0.125903  0.00431393
           4    0.080594    0.114576   0.0103295
           5    0.093872    0.110435  0.00905564
           6    0.108422      0.1101  0.00755258
           7     0.10885    0.109921  0.00647575
           8    0.142874     0.11404  0.00685222
           9    0.107588    0.113323  0.00612825
          10    0.110924    0.113083  0.00552012
          11    0.100546    0.111944  0.00513461
          12     0.12543    0.113067  0.00482815
          13     0.11889    0.113515  0.00447748
          14    0.125774    0.114391  0.00424242
          15     0.09532     0.11312  0.00414573
          16    0.108228    0.112814  0.00389787
          17     0.09634    0.111845  0.00378713
          18    0.105806    0.111509  0.00359156
          19    0.102184    0.111019  0.00343591
          20    0.097566    0.110346   0.0033293
