#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.401774    0.401774           0
           2    0.400697    0.401235 0.000380824
           3    0.393755    0.398742  0.00205164
           4    0.394949    0.397794  0.00174412
           5    0.395075     0.39725  0.00147762
           6    0.408357    0.399101   0.0020909
           7    0.392409    0.398145  0.00199885
           8    0.392697    0.397464  0.00186139
           9    0.399598    0.397701  0.00166959
          10    0.395126    0.397444  0.00152236
          11    0.381317    0.395978  0.00196705
          12    0.390532    0.395524  0.00185474
          13    0.393468    0.395366  0.00171879
          14    0.401017    0.395769  0.00164274
          15    0.389661    0.395362   0.0015829
          16     0.38832    0.394922  0.00154395
          17    0.398201    0.395115  0.00146513
          18    0.404364    0.395629  0.00147108
          19    0.398591    0.395785  0.00140189
          20    0.392381    0.395614  0.00134209
