#   N_BLOCK:  ACCEPTANCE:
           1    0.083576
           2   0.0840315
           3    0.085232
           4   0.0870365
           5   0.0867752
           6   0.0869633
           7   0.0871974
           8   0.0870344
           9   0.0865028
          10   0.0865956
          11   0.0865281
          12   0.0863029
          13   0.0865231
          14   0.0872052
          15   0.0870231
          16   0.0867558
          17   0.0869841
          18   0.0869941
          19    0.086651
          20   0.0867185
