#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.53885     0.53885           0
           2    0.603826    0.571338   0.0229725
           3     0.53215    0.558275   0.0186629
           4     0.46792    0.535686   0.0240544
           5    0.506642    0.529878   0.0199326
           6    0.564102    0.535582   0.0174075
           7     0.54871    0.537457   0.0150214
           8    0.494638    0.532105    0.014065
           9    0.498042     0.52832   0.0130015
          10    0.519938    0.527482   0.0117283
          11     0.62008      0.5359   0.0133455
          12     0.56799    0.538574   0.0124984
          13    0.517024    0.536916   0.0116464
          14    0.459422    0.531381   0.0120584
          15    0.487094    0.528429   0.0116103
          16      0.4905    0.526058   0.0111241
          17    0.551752    0.527569   0.0105719
          18    0.580762    0.530525   0.0103894
          19    0.539962    0.531021  0.00985442
          20    0.538888    0.531415  0.00936955
