#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.449749    0.449749           0
           2    0.435542    0.442646  0.00502313
           3    0.457541    0.447611  0.00525837
           4    0.420584    0.440854  0.00705648
           5    0.449333     0.44255  0.00584539
           6    0.452514    0.444211  0.00510161
           7    0.408106    0.439053  0.00647491
           8    0.431095    0.438058  0.00574145
           9    0.441654    0.438458   0.0051174
          10    0.424606    0.437072  0.00478945
          11    0.427006    0.436157  0.00444061
          12    0.445989    0.436977  0.00414546
          13    0.406296    0.434617  0.00444792
          14    0.397618    0.431974  0.00485222
          15    0.464078    0.434114  0.00497845
          16    0.413521    0.432827   0.0048308
          17    0.411166    0.431553  0.00471168
          18    0.438975    0.431965  0.00446793
          19    0.444472    0.432623  0.00428099
          20    0.452437    0.433614  0.00417999
