#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.916476   -0.916476           0
           2   -0.915844    -0.91616 0.000223446
           3    -0.91212   -0.914813  0.00110959
           4   -0.907188   -0.912907  0.00184882
           5   -0.913992   -0.913124  0.00149174
           6   -0.911964   -0.912931  0.00125558
           7   -0.911228   -0.912687  0.00109952
           8   -0.914056   -0.912858 0.000975296
           9   -0.917768   -0.913404  0.00100801
          10   -0.912828   -0.913346 0.000908849
          11   -0.914084   -0.913413 0.000828696
          12   -0.915332   -0.913573 0.000774907
          13   -0.910396   -0.913329 0.000752857
          14   -0.903936   -0.912658 0.000952208
          15   -0.916104   -0.912888 0.000916022
          16    -0.91738   -0.913168 0.000900772
          17   -0.909124   -0.912931 0.000878642
          18    -0.91286   -0.912927 0.000829837
          19   -0.919764   -0.913287 0.000860659
          20   -0.912124   -0.913228 0.000819586
