#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     34.6258     34.6258           0
           2     34.4067     34.5162   0.0774663
           3     33.4635     34.1653    0.291119
           4     29.4005     32.9741     1.05446
           5     33.3931     33.0579    0.846889
           6     32.1786     32.9114    0.718311
           7     30.5784     32.5781    0.688684
           8     32.3957     32.5553    0.602976
           9     35.6009     32.8937     0.62375
          10     31.8249     32.7868    0.570458
          11     32.7582     32.7842    0.518604
          12     33.1202     32.8122    0.476143
          13     28.8233     32.5054    0.529226
          14     26.7001     32.0907    0.633371
          15     36.1023     32.3582    0.645144
          16      34.858     32.5144    0.623454
          17     31.0276     32.4269    0.592882
          18     32.4132     32.4262    0.559945
          19     36.5833      32.645    0.571624
          20     32.2203     32.6237    0.543437
