#   N_BLOCK:  ACCEPTANCE:
           1    0.385894
           2    0.386379
           3    0.386653
           4    0.386329
           5    0.386744
           6    0.386893
           7    0.386991
           8    0.387107
           9     0.38718
          10     0.38701
          11    0.387075
          12    0.387043
          13     0.38707
          14    0.387111
          15    0.387225
          16    0.387236
          17     0.38722
          18    0.387073
          19    0.387028
          20    0.387097
