#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613828   -0.613828           0
           2    -0.61112   -0.612474 0.000957423
           3   -0.612548   -0.612499 0.000638599
           4   -0.616216   -0.613428 0.000936556
           5   -0.611676   -0.613078 0.000812153
           6    -0.61294   -0.613055 0.000677118
           7   -0.612808   -0.613019 0.000581303
           8   -0.611804   -0.612868 0.000528121
           9   -0.611528   -0.612719 0.000489964
          10   -0.613052   -0.612752   0.0004421
          11    -0.61298   -0.612773 0.000402395
          12   -0.613808   -0.612859 0.000377997
          13   -0.612412   -0.612825 0.000350481
          14    -0.61252   -0.612803 0.000326121
          15   -0.611284   -0.612702 0.000319713
          16   -0.612212   -0.612671 0.000301192
          17     -0.6124   -0.612655 0.000283896
          18   -0.616064   -0.612844 0.000325215
          19    -0.61376   -0.612893 0.000311648
          20   -0.610936   -0.612795 0.000311042
