#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.95995     2.95995           0
           2     2.94673     2.95334  0.00467398
           3     2.92601     2.94423  0.00806243
           4     2.97691      2.9524  0.00930729
           5     2.82009     2.92594   0.0248119
           6     3.01035     2.94001   0.0243407
           7     2.92749     2.93822   0.0209291
           8     2.98685      2.9443   0.0191754
           9     2.86001     2.93493    0.019196
          10     2.92753     2.93419   0.0172907
          11      2.9326     2.93405   0.0157194
          12     2.93833      2.9344   0.0144135
          13      2.9853     2.93832   0.0138263
          14     2.89875     2.93549   0.0131243
          15     2.80537     2.92682   0.0148417
          16     2.90788     2.92563   0.0139612
          17     2.91926     2.92526    0.013145
          18     3.01149     2.93005   0.0132589
          19     2.94929     2.93106   0.0125997
          20     2.83635     2.92633   0.0128288
