#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.313089    0.313089           0
           2    0.317025    0.315057  0.00139148
           3    0.313624     0.31458  0.00100632
           4      0.3129     0.31416  0.00083777
           5    0.312073    0.313742 0.000767135
           6    0.318055    0.314461 0.000916078
           7    0.322329    0.315585  0.00130366
           8    0.316927    0.315753  0.00115144
           9    0.318112    0.316015  0.00105291
          10    0.315124    0.315926 0.000951389
          11    0.320886    0.316377 0.000965852
          12    0.316769    0.316409 0.000885917
          13    0.321841    0.316827 0.000910992
          14     0.31254    0.316521 0.000895914
          15    0.313527    0.316321  0.00085813
          16    0.315632    0.316278 0.000805577
          17    0.320812    0.316545 0.000801121
          18    0.310756    0.316223 0.000818635
          19     0.31375    0.316093 0.000785835
          20    0.319921    0.316285  0.00076949
