#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.030816    0.030816           0
           2     0.02945    0.030133 0.000482954
           3    0.029576   0.0299473 0.000355873
           4    0.026286    0.029032  0.00083643
           5    0.022736   0.0277728  0.00131005
           6    0.018234    0.026183  0.00181605
           7    0.025588    0.026098   0.0015586
           8    0.033796   0.0270603  0.00163404
           9     0.03387   0.0278169   0.0016182
          10    0.031026   0.0281378  0.00148786
          11    0.021388   0.0275242  0.00147371
          12    0.021506   0.0270227   0.0014337
          13    0.034032   0.0275618  0.00142119
          14    0.031996   0.0278786  0.00135451
          15    0.021248   0.0274365  0.00133439
          16    0.036402   0.0279969  0.00136357
          17      0.0273   0.0279559  0.00128398
          18    0.027198   0.0279138  0.00121334
          19    0.024628   0.0277408  0.00116174
          20    0.023588   0.0275332  0.00112205
