#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462044   -0.462044           0
           2   -0.459364   -0.460704 0.000947523
           3   -0.462036   -0.461148 0.000728317
           4   -0.462236    -0.46142 0.000594865
           5   -0.463248   -0.461786 0.000577411
           6   -0.462088   -0.461836 0.000483371
           7   -0.461844   -0.461837 0.000414319
           8    -0.46188   -0.461843 0.000362564
           9   -0.461928   -0.461852 0.000322403
          10   -0.461496   -0.461816 0.000292122
          11   -0.460988   -0.461741 0.000275101
          12   -0.464152   -0.461942 0.000317165
          13   -0.464588   -0.462146 0.000352071
          14   -0.460216   -0.462008  0.00035287
          15   -0.461656   -0.461984 0.000330124
          16   -0.462972   -0.462046  0.00031521
          17   -0.462208   -0.462056 0.000296812
          18    -0.46174   -0.462038  0.00028084
          19   -0.462812   -0.462079 0.000268997
          20    -0.46122   -0.462036 0.000258951
