#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.200746    0.200746           0
           2    0.200397    0.200571 0.000123331
           3    0.197622    0.199588 0.000806864
           4      0.1934    0.198041  0.00147023
           5     0.19402    0.197237  0.00137869
           6    0.199366    0.197592  0.00119368
           7    0.194807    0.197194   0.0010874
           8    0.200008    0.197546  0.00100676
           9    0.199126    0.197721 0.000910071
          10    0.199016    0.197851 0.000828224
          11     0.19353    0.197458 0.000840938
          12    0.197333    0.197447 0.000770925
          13    0.195831    0.197323 0.000721582
          14    0.194051    0.197089  0.00070687
          15    0.198618    0.197191 0.000667048
          16     0.19752    0.197212 0.000625673
          17    0.198763    0.197303 0.000595485
          18      0.2004    0.197475 0.000586734
          19    0.198691    0.197539 0.000559334
          20    0.193199    0.197322 0.000571909
