#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.222902    0.222902           0
           2    0.219996    0.221449   0.0010275
           3    0.221797    0.221565 0.000691513
           4     0.21691    0.220401  0.00113346
           5    0.221397      0.2206  0.00092412
           6    0.218485    0.220248 0.000834639
           7    0.224259    0.220821 0.000890679
           8    0.221674    0.220927 0.000785697
           9      0.2226    0.221113 0.000720039
          10    0.220959    0.221098 0.000648201
          11    0.219681    0.220969 0.000601929
          12    0.224023    0.221223 0.000603181
          13    0.222592    0.221329 0.000565895
          14    0.222887     0.22144 0.000536302
          15    0.222879    0.221536 0.000509054
          16    0.218759    0.221362  0.00050597
          17     0.22011    0.221289 0.000481539
          18    0.217532     0.22108 0.000497975
          19    0.222584    0.221159 0.000478014
          20    0.223612    0.221282 0.000469585
