#   N_BLOCK:  ACCEPTANCE:
           1    0.506267
           2     0.50621
           3    0.506474
           4    0.506301
           5    0.506436
           6    0.506654
           7    0.506667
           8    0.506674
           9    0.506741
          10    0.506793
          11     0.50675
          12    0.506604
          13    0.506661
          14    0.506746
          15    0.506802
          16    0.506754
          17    0.506771
          18    0.506746
          19    0.506658
          20    0.506641
