#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.026716    0.026716           0
           2    0.028574    0.027645 0.000656902
           3    0.034162   0.0298173  0.00182697
           4    0.038072    0.031881  0.00225201
           5    0.029132   0.0313312  0.00186752
           6     0.03297   0.0316043  0.00157611
           7    0.030712   0.0314769   0.0013561
           8    0.027322   0.0309575  0.00128219
           9    0.033278   0.0312153  0.00116536
          10    0.024596   0.0305534  0.00122244
          11    0.038036   0.0312336  0.00128673
          12     0.01992   0.0302908  0.00148527
          13    0.026582   0.0300055  0.00139815
          14    0.032834   0.0302076   0.0013128
          15    0.037992   0.0307265  0.00132389
          16      0.0311   0.0307499  0.00124135
          17    0.032152   0.0308324  0.00117106
          18    0.022976   0.0303959  0.00118455
          19    0.031538    0.030456  0.00112373
          20    0.027106   0.0302885  0.00107996
