#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.425133    0.425133           0
           2    0.427992    0.426563  0.00101079
           3    0.433902    0.429009  0.00210825
           4    0.413923    0.425238  0.00362895
           5    0.436561    0.427502  0.00353995
           6    0.444064    0.430263  0.00387967
           7    0.421463    0.429005  0.00352322
           8    0.425863    0.428613  0.00310464
           9    0.435786     0.42941  0.00286016
          10    0.422641    0.428733  0.00265303
          11    0.433971    0.429209  0.00245421
          12    0.420484    0.428482  0.00235493
          13    0.417941    0.427671  0.00230917
          14     0.43963    0.428525   0.0022968
          15    0.439921    0.429285  0.00226584
          16    0.436125    0.429713  0.00216418
          17    0.430309    0.429748  0.00203716
          18    0.429637    0.429741    0.001924
          19    0.425822    0.429535  0.00183376
          20    0.437661    0.429941  0.00178651
