#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.152316    0.152316           0
           2    0.180688    0.166502    0.010031
           3    0.132974    0.155326   0.0113132
           4    0.167986    0.158491  0.00891666
           5    0.157502    0.158293  0.00713552
           6    0.159502    0.158495  0.00594911
           7    0.181686    0.161808  0.00595067
           8    0.145796    0.159806   0.0055332
           9    0.187612    0.162896  0.00571623
          10    0.167806    0.163387  0.00516565
          11    0.186114    0.165453   0.0050925
          12    0.173328    0.166109  0.00471022
          13    0.195338    0.168358  0.00485495
          14    0.160888    0.167824  0.00453739
          15    0.165012    0.167637  0.00423877
          16    0.169322    0.167742  0.00397515
          17    0.149122    0.166647  0.00388929
          18    0.184516    0.167639   0.0037978
          19    0.193064    0.168977  0.00382641
          20    0.192324    0.170145  0.00380899
