#   N_BLOCK:  ACCEPTANCE:
           1    0.218956
           2    0.218121
           3    0.217364
           4    0.217127
           5    0.217238
           6    0.217046
           7    0.216981
           8    0.217562
           9    0.217616
          10    0.217531
          11     0.21764
          12    0.217557
          13    0.217446
          14    0.217612
          15    0.217424
          16    0.217377
          17    0.217457
          18    0.217504
          19    0.217409
          20    0.217505
