#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.780952   -0.780952           0
           2   -0.782196   -0.781574  0.00043982
           3   -0.784352     -0.7825 0.000810941
           4    -0.78424   -0.782935 0.000715425
           5   -0.782172   -0.782782  0.00058839
           6   -0.783124   -0.782839 0.000493071
           7   -0.783852   -0.782984 0.000443348
           8   -0.778844   -0.782467 0.000620338
           9   -0.781784   -0.782391 0.000556028
          10    -0.78364   -0.782516 0.000514269
          11   -0.781364   -0.782411 0.000478054
          12    -0.78286   -0.782448 0.000439679
          13   -0.784328   -0.782593 0.000428974
          14   -0.779808   -0.782394 0.000442055
          15   -0.785252   -0.782585 0.000451784
          16   -0.783432   -0.782638 0.000426641
          17   -0.781188   -0.782552 0.000409976
          18   -0.781172   -0.782476 0.000394306
          19   -0.784436   -0.782579 0.000386817
          20    -0.78084   -0.782492 0.000377119
